"CPC21code","CPC21partial","CPC2code","CPC2partial"
"01111",0,"01111",0
"01112",0,"01112",0
"01121",0,"01121",0
"01122",0,"01122",0
"01131",0,"01131",0
"01132",0,"01132",0
"01141",0,"01141",0
"01142",0,"01142",0
"01151",0,"01151",0
"01152",0,"01152",0
"01161",0,"01161",0
"01162",0,"01162",0
"01171",0,"01171",0
"01172",0,"01172",0
"01181",0,"01181",0
"01182",0,"01182",0
"01191",0,"01190",1
"01192",0,"01190",1
"01193",0,"01190",1
"01194",0,"01190",1
"01195",0,"01190",1
"01199",0,"01190",1
"01211",0,"01211",0
"01212",0,"01212",0
"01213",0,"01213",0
"01214",0,"01214",0
"01215",0,"01215",0
"01216",0,"01216",0
"01219",0,"01219",0
"01221",0,"01221",0
"01229",0,"01229",0
"01231",0,"01231",0
"01232",0,"01232",0
"01233",0,"01233",0
"01234",0,"01234",0
"01235",0,"01235",0
"01239",0,"01239",0
"01241",0,"01241",0
"01242",0,"01242",0
"01243",0,"01249",1
"01249",0,"01249",1
"01251",0,"01251",0
"01252",0,"01252",0
"01253",0,"01253",0
"01254",0,"01254",0
"01259",0,"01259",0
"01260",0,"01260",0
"01270",0,"01270",0
"01290",0,"01290",0
"01311",0,"01311",0
"01312",0,"01312",0
"01313",0,"01313",0
"01314",0,"01314",0
"01315",0,"01315",0
"01316",0,"01316",0
"01317",0,"01317",0
"01318",0,"01318",0
"01319",0,"01319",0
"01321",0,"01321",0
"01322",0,"01322",0
"01323",0,"01323",0
"01324",0,"01324",0
"01329",0,"01329",0
"01330",0,"01330",0
"01341",0,"01351",0
"01342",0,"01352",0
"01343",0,"01353",0
"01344",0,"01354",0
"01345",0,"01355",0
"01346",0,"01356",0
"01349",0,"01359",0
"01351",0,"01341",0
"01352",0,"01342",0
"01353",0,"01343",0
"01354",0,"01344",0
"01355",0,"01349",0
"01356",0,"01391",0
"01359",0,"01399",0
"01360",0,"01360",1
"01371",0,"01371",0
"01372",0,"01372",0
"01373",0,"01373",0
"01374",0,"01374",0
"01375",0,"01375",0
"01376",0,"01376",0
"01377",0,"01377",0
"01379",0,"01379",0
"01411",0,"01411",0
"01412",0,"01412",0
"01421",0,"01421",0
"01422",0,"01422",0
"01431",0,"01431",0
"01432",0,"01432",0
"01441",0,"01441",0
"01442",0,"01442",0
"01443",0,"01443",0
"01444",0,"01444",0
"01445",0,"01445",0
"01446",0,"01446",0
"01447",0,"01449",1
"01448",0,"01449",1
"01449",0,"01449",1
"01450",0,"01450",0
"01460",0,"01460",0
"01491",0,"01491",0
"01492",0,"01499",1
"01499",0,"01499",1
"01510",0,"01510",0
"01520",0,"01592",0
"01530",0,"01591",0
"01540",0,"01593",0
"01550",0,"01599",1
"01591",0,"01599",1
"01599",0,"01599",1
