cpc;description_en;common_name_en
R0;Agriculture, forestry and fishery products;
R01;Products of agriculture, horticulture and market gardening;
R011;Cereals;
R0111;Wheat;
R01111;Wheat, seed;
R01112;Wheat, other;
R0112;Maize (corn);
R01121;Maize (corn), seed;
R01122;Maize (corn), other;
R0113;Rice;
R01131;Rice, seed;
R01132;Rice paddy, other (not husked);
R0114;Sorghum;
R01141;Sorghum, seed;
R01142;Sorghum, other;
R0115;Barley;
R01151;Barley, seed;
R01152;Barley, other;
R0116;Rye;
R01161;Rye, seed;
R01162;Rye, other;
R0117;Oats;
R01171;Oats, seed;
R01172;Oats, other;
R0118;Millet;
R01181;Millet, seed;
R01182;Millet, other;
R0119;Other cereals;
R01191;Triticale;
R01192;Buckwheat;
R01193;Fonio;
R01194;Quinoa;
R01195;Canary seed;
R01199;Other cereals n.e.c.;
R012;Vegetables;
R0121;Leafy or stem vegetables;
R01211;Asparagus;
R01212;Cabbages;
R01213;Cauliflowers and broccoli;
R01214;Lettuce and chicory;
R01215;Spinach;
R01216;Artichokes;
R01219;Other leafy or stem vegetables;
R0122;Melons;
R01221;Watermelons;
R01229;Cantaloupes and other melons;
R0123;Fruit-bearing vegetables;
R01231;Chillies and peppers, green (<i>Capsicum</i> spp. and <i>Pimenta</i> spp.);
R01232;Cucumbers and gherkins;
R01233;Eggplants (aubergines);
R01234;Tomatoes;
R01235;Pumpkins, squash and gourds;
R01239;Other fruit-bearing vegetables;
R0124;Green leguminous vegetables;
R01241;Beans, green;
R01242;Peas, green;
R01243;Broad beans and horse beans, green;
R01249;Other green leguminous vegetables;
R0125;Root, bulb or tuberous vegetables;
R01251;Carrots and turnips;
R01252;Green garlic;
R01253;Onions;
R01254;Leeks and other alliaceous vegetables;
R01259;Other root, bulb and tuberous vegetables, n.e.c.;
R0126;Vegetable seeds, except beet seeds;
R01260;Vegetable seeds, except beet seeds;
R0127;Mushrooms and truffles;
R01270;Mushrooms and truffles;
R0129;Vegetables, fresh, n.e.c.;
R01290;Vegetables, fresh, n.e.c.;
R013;Fruits and nuts;
R0131;Tropical and subtropical fruits;
R01311;Avocados;
R01312;Bananas;
R01313;Plantains and cooking bananas;
R01314;Dates;
R01315;Figs;
R01316;Mangoes, guavas and mangosteens;
R01317;Papayas;
R01318;Pineapples;
R01319;Other tropical and subtropical fruits, n.e.c.;
R0132;Citrus fruits;
R01321;Pomelos and grapefruits;
R01322;Lemons and limes;
R01323;Oranges;
R01324;Tangerines, mandarins, clementines;
R01329;Other citrus fruit, n.e.c.;
R0133;Grapes;
R01330;Grapes;
R0134;Pome fruits and stone fruits;
R01341;Apples;
R01342;Pears and quinces;
R01343;Apricots;
R01344;Cherries;
R01345;Peaches and nectarines;
R01346;Plums and sloes;
R01349;Other pome fruits and stone fruits;
R0135;Berries and other fruits;
R01351;Currants and gooseberries;
R01352;Kiwi fruit;
R01353;Raspberries, blackberries, mulberries and loganberries;
R01354;Strawberries;
R01355;"Other berries; fruits of the genus <i>Vaccinium</i>";
R01356;Locust beans (carobs);
R01359;Other fruits, n.e.c.;
R0136;Fruit seeds;
R01360;Fruit seeds;
R0137;Nuts (excluding wild edible nuts and groundnuts), in shell;
R01371;Almonds, in shell;
R01372;Cashew nuts, in shell;
R01373;Chestnuts, in shell;
R01374;Hazelnuts, in shell;
R01375;Pistachios, in shell;
R01376;Walnuts, in shell;
R01377;Brazil nuts, in shell;
R01379;Other nuts (excluding wild edible nuts and groundnuts), in shell;
R014;Oilseeds and oleaginous fruits;
R0141;Soya beans;
R01411;Soya beans, seed for planting;
R01412;Soya beans, other;
R0142;Groundnuts, excluding shelled;
R01421;Groundnuts, seed for planting;
R01422;Groundnuts, in shell;
R0143;Cottonseed;
R01431;Cottonseed, seed for planting;
R01432;Cottonseed, other;
R0144;Other oilseeds;
R01441;Linseed;
R01442;Mustard seed;
R01443;Rape or colza seed;
R01444;Sesame seed;
R01445;Sunflower seed;
R01446;Safflower seed;
R01447;Castor oil seeds;
R01448;Poppy seed;
R01449;Other oilseeds, n.e.c.;
R0145;Olives;
R01450;Olives;
R0146;Coconuts, in shell;
R01460;Coconuts, in shell;
R0149;Other oleaginous fruits;
R01491;Palm nuts and kernels;
R01492;Copra;
R01499;Other oleaginous fruits, n.e.c.;
R015;Edible roots and tubers with high starch or inulin content;
R0151;Potatoes;
R01510;Potatoes;
R0152;Cassava;
R01520;Cassava;
R0153;Sweet potatoes;
R01530;Sweet potatoes;
R0154;Yams;
R01540;Yams;
R0155;Taro;
R01550;Taro;
R0159;Other edible roots and tubers with high starch or inulin content;
R01591;Yautia;
R01599;Other edible roots and tubers with high starch or inulin content, n.e.c.;
R016;Stimulant, spice and aromatic crops;
