cpcv2,description,common_name,display_name,es_name,fr_name,pt_name,ar_name,aliases,hs2012,scientific_name,per_country_aliases
R0,"Agriculture, forestry and fishery products",,"Agriculture, forestry and fishery products",,,,,[],,,[]
R01,"Products of agriculture, horticulture and market gardening","Agriculture products, horticulture, market gardening","Agriculture products, horticulture, market gardening","Productos agrícolas, horticultura","Produits agricoles, horticulture, maraîchage","Produtos agrícolas, horticultura, horta comercial",,[],,,[]
R011,Cereals,,Cereals,,,,,[],,,[]
R0111,Wheat,,Wheat,,,,,[],,,[]
R01111,Wheat planting seed,Wheat planting seed,Wheat planting seed,Semilla de siembra de trigo,Semences de blé,Semente de plantação de trigo,,"['semillas de trigo', 'semences de ble', 'triticum aestivum']","['1001.11', '1001.91']",Triticum aestivum,[]
R01111AA,Wheat planting seed,Wheat planting seed,Wheat planting seed,,,,,['triticum aestivum'],"['1001.11', '1001.91']",Triticum aestivum,[]
R01112,Wheat grain,,Wheat grain,Grano de trigo,Grain de blé,Grão de trigo,,['triticum aestivum'],"['1001.99', '1001.19']",Triticum aestivum,[]
R01112AA,"Wheat grain, other",Wheat Grain,Wheat Grain,,,,,"['imported wheat (grains)', 'froment', 'grurë', 'blé ordinaire', ""'0111"", 'trigo', 'wheat (milling, f.o.b. aktau port)', 'local wheat', 'wheat (milling, d.a.p. saryagash station)', '01112', 'gehun', 'trigo blanco', 'trigo blando', 'white wheat', 'buğday', 'blé', '01112a', 'wheat (milling)', 'ko-mugi', 'wheat (3rd class, bid, exw, processing)']",['1001.19'],Triticum aestivum,"[OrderedDict([('country', 'RU'), ('product', 'R01112AA'), ('aliases', ['Wheat (Milling, 3rd class, offer, EXW)'])]), OrderedDict([('country', 'IN'), ('product', 'R01112AA'), ('aliases', ['wheat'])])]"
R01112AB,Wheat grain,"Wheat Grain (No. 2, Soft Red Winter)","Wheat Grain (No. 2, Soft Red Winter)",,,,,"['01112b', 'soft red winter wheat', 'wheat (us no. 2, soft red winter)', 'wheat (no. 2, soft red winter)', 'triticum aestivum', 'wheat, other, no. 2 soft red winter', 'wheat grain (no. 2, soft red winter)']",,Triticum aestivum,[]
R01112AC,Wheat grain,Wheat Grain (ASW),Wheat Grain (ASW),,,,,"['wheat grain (asw)', '01112c', 'triticum aestivum', 'wheat, other, asw', 'wheat (asw)']",,Triticum aestivum,[]
R01112AD,Wheat grain,Wheat Grain (CWRS),Wheat Grain (CWRS),,,,,"['wheat, other, canadian western red spring', 'wheat (cwrs)', '01112d', 'triticum aestivum']",,Triticum aestivum,[]
R01112AE,Wheat grain,Wheat grain (Grade 1),Wheat grain (Grade 1),,,,,"['wheat grain (grade 1)', 'wheat, grain, grade 1', 'triticum aestivum', 'wheat (grade 1)', '01112e']",,Triticum aestivum,[]
R01112AF,Wheat grain,"Wheat grain (No. 2, Hard Red Winter)","Wheat grain (No. 2, Hard Red Winter)",,,,,"['01112f', 'wheat (us no. 2, hard red winter)', 'wheat (hrw)', 'wheat, grain, no. 2 hard red winter', 'wheat grain (no. 2, hard red winter)']",,Triticum aestivum,[]
R01112AG,Wheat grain,Wheat Grain (Trigo Pan),Wheat Grain (Trigo Pan),,,,,"['bread wheat', '01112g', 'wheat, other, trigo pan', 'wheat (trigo pan)', 'wheat grain (trigo pan)', 'common wheat', 'wheat (argentina, trigo pan, up river, f.o.b.)']",,Triticum aestivum,[]
R01112AH,Wheat grain,Wheat Grain (Food Aid),Wheat Grain (Food Aid),,,,,"['wheat (food aid)', 'common wheat', 'wheat, other, food aid', 'graine de blé (aide alimentaire)', 'wheat grain (food aid)', '01112h']",,Triticum aestivum,[]
R01112AI,Wheat grain,Wheat (Durum),Wheat (Durum),,,,,"['blé dur', 'trigo moruno', 'rivet wheat', 'trigo polaco', 'khorassan wheat', 'trigo candeal', 'trigo duro', 'wheat (durum)', 'blé de pologne', 'hard wheat', 'cone wheat', 'blé poulard', 'wheat, grain, durum', 'oriental wheat']",['1001.99'],Triticum durum,[]
R01112AJ,Wheat grain,Wheat (Einkorn),Wheat (Einkorn),,,,,"['escaña menor', 'escaña menor silvestre', 'small spelt', 'escanda menor', 'petit épeautre', 'escana', 'wheat, grain, einkorn', 'little spelt', 'wild einkorn', 'escafia menor']",,Triticum monococcum,[]
R01112AK,Wheat grain,Wheat (Emmer),Wheat (Emmer),,,,,"['dinkel wheat', 'awned wheat', 'hulled wheat', 'macha wheat', 'épeautre', 'emmer wheat', 'amidonier', 'escanda', 'escaña', 'kaplica', 'spelt', 'espelta', 'escaña silvestre', 'esafia almidora', 'trigo maka']",,Triticum dicoccum,[]
R01112AL,Grain,Meslin,Meslin,,,,,"['maslin', 'wheat-rye mix']",,,[]
R01112AM,Grain,Wheat/Spelt mix,Wheat/Spelt mix,,,,,[],,Triticum spp.,[]
R0112,Maize/corn,Maize/corn,Maize/corn,,,,,[],,Zea mays,[]
R01121,Maize/corn planting seed,Maize/corn planting seed,Maize/corn planting seed,Semilla de siembra de maíz,Semences de maïs,Semente de plantação de milho,,[],['1005.10'],Zea mays,[]
R01121AA,Maize/corn planting seed,Maize/corn planting seed,Maize/corn planting seed,,,,,[],,Zea mays,[]
R01122,Maize/corn grain,Maize/corn grain,Maize/corn grain,Maíz en grano,Grain de maïs,Grão de milho,,[],['1005.90'],Zea mays,[]
R01122AA,"Maize grain (corn), other",Maize (Corn),Maize (Corn),,,,,"['maize (argentina, up river, f.o.b.)', 'maize grain (corn), other', '0112', 'maïs', 'maiz', 'milho', 'mais paddy', 'maíz', 'mais', 'maize (corn)', '01122', 'maize grain', 'corn', 'local maize', '01122f', 'maíz en grano', 'maize', 'imported maize']",['1005.90'],Zea mays,[]
R01122AB,"Maize grain (corn), other, yellow",Maize Grain (Yellow),Maize Grain (Yellow),,,,,"['jan masara', 'maïs grain jaune', 'agbado pupa', 'yellow corn', 'maize (yellow)', 'maiz amarillo', '01122a', 'yellow maize', 'maíz amarillo de primera', 'mais jaune', 'mais en grain', 'maize grain (yellow)', '01122f', 'maïs jaune', 'maize grain (corn), other, yellow', 'maize (yellow, feedlot)', 'maíz amarillo, de primera']",,Zea mays indentata,"[OrderedDict([('country', 'PA'), ('product', 'R01122AB'), ('aliases', ['Maíz en Grano'])])]"
R01122AC,"Maize grain (corn), other, white",Maize Grain (White),Maize Grain (White),,,,,"['maize grain - kg', 'maize (white)', 'maíz blanco de primera', 'maiz blanco', 'maíz blanco, de primera', 'maize grain (corn), other, white', 'faran masara', 'mais', 'agbado funfun', '01122b', 'maïs grain blanc', 'white maize', 'maïs (blanc)', 'maíz blanco', 'mais local', 'white maize 1kg', 'mais (blanc)']",,Zea mays indentata,[]
