"CPC21code","CPC21partial","HS12code","HS12partial"
"01111",1,"1001.11",0
"01111",1,"1001.91",0
"01112",1,"1001.19",0
"01112",1,"1001.99",0
"01121",0,"1005.10",0
"01122",0,"1005.90",0
"01131",0,"1006.10",1
"01132",0,"1006.10",1
"01141",0,"1007.10",0
"01142",0,"1007.90",0
"01151",0,"1003.10",0
"01152",0,"1003.90",0
"01161",0,"1002.10",0
"01162",0,"1002.90",0
"01171",0,"1004.10",0
"01172",0,"1004.90",0
"01181",0,"1008.21",0
"01182",0,"1008.29",0
"01191",0,"1008.60",0
"01192",0,"1008.10",0
"01193",0,"1008.40",0
"01194",0,"1008.50",0
"01195",0,"1008.30",0
"01199",0,"1008.90",0
"01211",0,"0709.20",0
"01212",1,"0704.20",0
"01212",1,"0704.90",0
"01213",0,"0704.10",0
"01214",1,"0705.11",0
"01214",1,"0705.19",0
"01214",1,"0705.21",0
"01214",1,"0705.29",0
"01215",0,"0709.70",0
"01216",0,"0709.91",0
"01219",0,"0709.99",1
"01221",0,"0807.11",0
"01229",0,"0807.19",0
"01231",0,"0709.60",0
"01232",0,"0707.00",0
"01233",0,"0709.30",0
"01234",0,"0702.00",0
"01235",0,"0709.93",0
"01239",0,"0709.99",1
"01241",0,"0708.20",0
"01242",0,"0708.10",0
"01243",0,"0708.90",1
"01249",0,"0708.90",1
"01251",0,"0706.10",0
"01252",0,"0703.20",0
"01253",0,"0703.10",0
"01254",0,"0703.90",0
"01259",0,"0706.90",0
"01260",0,"1209.91",0
"01270",1,"0709.51",0
"01270",1,"0709.59",0
"01290",1,"0709.40",0
"01290",1,"0709.99",1
"01311",0,"0804.40",1
"01312",0,"0803.90",1
"01313",0,"0803.10",1
"01314",0,"0804.10",1
"01315",0,"0804.20",1
"01316",0,"0804.50",1
"01317",0,"0807.20",0
"01318",0,"0804.30",1
"01319",1,"0810.60",0
"01319",1,"0810.90",1
"01321",0,"0805.40",1
"01322",0,"0805.50",1
"01323",0,"0805.10",1
"01324",0,"0805.20",1
"01329",0,"0805.90",1
"01330",0,"0806.10",0
"01341",0,"0808.10",0
"01342",1,"0808.30",0
"01342",1,"0808.40",0
"01343",0,"0809.10",0
"01344",1,"0809.21",0
"01344",1,"0809.29",0
"01345",0,"0809.30",0
"01346",0,"0809.40",0
"01349",0,"0810.90",1
"01351",0,"0810.30",0
"01352",0,"0810.50",0
"01353",0,"0810.20",0
"01354",0,"0810.10",0
"01355",1,"0810.40",0
"01355",1,"0810.90",1
"01356",0,"1212.92",0
"01359",1,"0810.70",0
"01359",1,"0810.90",1
"01360",0,"1209.99",1
"01371",0,"0802.11",0
"01372",0,"0801.31",0
"01373",0,"0802.41",0
"01374",0,"0802.21",0
"01375",0,"0802.51",0
"01376",0,"0802.31",0
"01377",0,"0801.21",0
"01379",1,"0802.61",0
"01379",1,"0802.70",1
"01379",1,"0802.80",1
"01379",1,"0802.90",1
"01411",0,"1201.10",0
"01412",0,"1201.90",0
"01421",0,"1202.30",0
"01422",0,"1202.41",0
"01431",0,"1207.21",0
"01432",0,"1207.29",0
"01441",0,"1204.00",0
"01442",0,"1207.50",0
"01443",1,"1205.10",0
"01443",1,"1205.90",0
"01444",0,"1207.40",0
"01445",0,"1206.00",0
"01446",0,"1207.60",0
"01447",0,"1207.30",0
"01448",0,"1207.91",0
"01449",1,"1207.70",0
"01449",1,"1207.99",1
"01450",0,"0709.92",0
"01460",1,"0801.12",0
"01460",1,"0801.19",1
"01491",0,"1207.10",0
"01492",0,"1203.00",0
"01499",0,"1207.99",1
"01510",1,"0701.10",0
"01510",1,"0701.90",0
"01520",0,"0714.10",0
"01530",0,"0714.20",0
"01540",0,"0714.30",0
"01550",0,"0714.40",0
"01591",0,"0714.50",0
"01599",0,"0714.90",0
"01610",0,"0901.11",0
"01620",1,"0902.20",0
"01620",1,"0902.40",0
"01630",0,"0903.00",0
"01640",0,"1801.00",0
"01651",0,"0904.11",0
"01652",0,"0904.21",0
"01653",1,"0908.11",0
"01653",1,"0908.21",0
"01653",1,"0908.31",0
"01654",1,"0909.21",0
"01654",1,"0909.31",0
"01654",1,"0909.61",0
"01655",1,"0906.11",0
"01655",1,"0906.19",0
"01656",0,"0907.10",0
"01657",0,"0910.11",0
"01658",0,"0905.10",0
"01659",1,"1210.10",0
"01659",1,"1210.20",0
"01691",0,"1212.94",0
