sheet,addr,row,col,text,is_formula_cell,font_name,font_size,bold,italic,h_align,v_align,merged,merged_master,merged_range,top_px,left_px,width_px,height_px,is_title_like
B,C1,1,3,Version: 17Oct18,,,,,,,,False,,,0,159,200,17,False
B,D1,1,4,Livelihoods Baseline 1,,,,,,,,False,,,0,359,61,17,False
B,G1,1,7,Code:,,,,,,,,False,,,0,548,64,17,False
B,P1,1,16,Livelihoods Baseline 2,,,,,,,,False,,,0,1124,64,17,False
B,S1,1,19,Code:,,,,,,,,False,,,0,1316,64,17,False
B,AB1,1,28,Livelihoods Baseline 3,,,,,,,,False,,,0,1892,64,17,False
B,AE1,1,31,Code:,,,,,,,,False,,,0,2084,64,17,False
B,AN1,1,40,Livelihoods Baseline 4,,,,,,,,False,,,0,2660,64,17,False
B,AQ1,1,43,Code:,,,,,,,,False,,,0,2852,64,17,False
B,AZ1,1,52,Livelihoods Baseline 5,,,,,,,,False,,,0,3428,64,17,False
B,BC1,1,55,Code:,,,,,,,,False,,,0,3620,64,17,False
B,BL1,1,64,Livelihoods Baseline 6,,,,,,,,False,,,0,4196,64,17,False
B,BO1,1,67,Code:,,,,,,,,False,,,0,4388,64,17,False
B,BX1,1,76,Livelihoods Baseline 7,,,,,,,,False,,,0,4964,64,17,False
B,CA1,1,79,Code:,,,,,,,,False,,,0,5156,64,17,False
B,CJ1,1,88,Livelihoods Baseline 8,,,,,,,,False,,,0,5732,64,17,False
B,CM1,1,91,Code:,,,,,,,,False,,,0,5924,64,17,False
B,CV1,1,100,Livelihoods Baseline 9,,,,,,,,False,,,0,6500,64,17,False
B,CY1,1,103,Code:,,,,,,,,False,,,0,6692,64,17,False
B,DH1,1,112,Livelihoods Baseline 10,,,,,,,,False,,,0,7268,64,17,False
B,DK1,1,115,Code:,,,,,,,,False,,,0,7460,64,17,False
B,DT1,1,124,Livelihoods Baseline 11,,,,,,,,False,,,0,8036,64,17,False
B,DW1,1,127,Code:,,,,,,,,False,,,0,8228,64,17,False
B,EF1,1,136,Livelihoods Baseline 12,,,,,,,,False,,,0,8804,64,17,False
B,EI1,1,139,Code:,,,,,,,,False,,,0,8996,64,17,False
B,G2,2,7,SN07,,,,,,,,False,,,17,548,64,17,True
B,S2,2,19,SN08,,,,,,,,False,,,17,1316,64,17,True
B,AE2,2,31,SN11,,,,,,,,False,,,17,2084,64,17,True
B,AQ2,2,43,SN12,,,,,,,,False,,,17,2852,64,17,True
B,BC2,2,55,SN14,,,,,,,,False,,,17,3620,64,17,True
B,BO2,2,67,SN05,,,,,,,,False,,,17,4388,64,17,True
B,CA2,2,79,SN15,,,,,,,,False,,,17,5156,64,17,True
B,CM2,2,91,BK8,,,,,,,,False,,,17,5924,64,17,True
B,CY2,2,103,BK9,,,,,,,,False,,,17,6692,64,17,True
B,DK2,2,115,BK10,,,,,,,,False,,,17,7460,64,17,True
B,DW2,2,127,BK11,,,,,,,,False,,,17,8228,64,17,True
B,EI2,2,139,BK12,,,,,,,,False,,,17,8996,64,17,True
B,C3,3,3,Food,,,,,,,,False,,,34,159,200,17,False
B,D3,3,4,V.Poor,,,,,,,,False,,,34,359,61,17,False
B,G3,3,7,Poor,,,,,,,,False,,,34,548,64,17,False
B,J3,3,10,Middle,,,,,,,,False,,,34,740,64,17,False
B,M3,3,13,B/Off,,,,,,,,False,,,34,932,64,17,False
B,P3,3,16,V.Poor,,,,,,,,False,,,34,1124,64,17,False
B,S3,3,19,Poor,,,,,,,,False,,,34,1316,64,17,False
B,V3,3,22,Middle,,,,,,,,False,,,34,1508,64,17,False
B,Y3,3,25,B/Off,,,,,,,,False,,,34,1700,64,17,False
B,AB3,3,28,V.Poor,,,,,,,,False,,,34,1892,64,17,False
B,AE3,3,31,Poor,,,,,,,,False,,,34,2084,64,17,False
B,AH3,3,34,Middle,,,,,,,,False,,,34,2276,64,17,False
B,AK3,3,37,B/Off,,,,,,,,False,,,34,2468,64,17,False
B,AN3,3,40,V.Poor,,,,,,,,False,,,34,2660,64,17,False
B,AQ3,3,43,Poor,,,,,,,,False,,,34,2852,64,17,False
B,AT3,3,46,Middle,,,,,,,,False,,,34,3044,64,17,False
B,AW3,3,49,B/Off,,,,,,,,False,,,34,3236,64,17,False
B,AZ3,3,52,V.Poor,,,,,,,,False,,,34,3428,64,17,False
B,BC3,3,55,Poor,,,,,,,,False,,,34,3620,64,17,False
B,BF3,3,58,Middle,,,,,,,,False,,,34,3812,64,17,False
B,BI3,3,61,B/Off,,,,,,,,False,,,34,4004,64,17,False
B,BL3,3,64,V.Poor,,,,,,,,False,,,34,4196,64,17,False
B,BO3,3,67,Poor,,,,,,,,False,,,34,4388,64,17,False
B,BR3,3,70,Middle,,,,,,,,False,,,34,4580,64,17,False
B,BU3,3,73,B/Off,,,,,,,,False,,,34,4772,64,17,False
B,BX3,3,76,V.Poor,,,,,,,,False,,,34,4964,64,17,False
B,CA3,3,79,Poor,,,,,,,,False,,,34,5156,64,17,False
B,CD3,3,82,Middle,,,,,,,,False,,,34,5348,64,17,False
B,CG3,3,85,B/Off,,,,,,,,False,,,34,5540,64,17,False
B,CJ3,3,88,V.Poor,,,,,,,,False,,,34,5732,64,17,False
B,CM3,3,91,Poor,,,,,,,,False,,,34,5924,64,17,False
B,CP3,3,94,Middle,,,,,,,,False,,,34,6116,64,17,False
B,CS3,3,97,B/Off,,,,,,,,False,,,34,6308,64,17,False
B,CV3,3,100,V.Poor,,,,,,,,False,,,34,6500,64,17,False
B,CY3,3,103,Poor,,,,,,,,False,,,34,6692,64,17,False
B,DB3,3,106,Middle,,,,,,,,False,,,34,6884,64,17,False
B,DE3,3,109,B/Off,,,,,,,,False,,,34,7076,64,17,False
B,DH3,3,112,V.Poor,,,,,,,,False,,,34,7268,64,17,False
B,DK3,3,115,Poor,,,,,,,,False,,,34,7460,64,17,False
B,DN3,3,118,Middle,,,,,,,,False,,,34,7652,64,17,False
B,DQ3,3,121,B/Off,,,,,,,,False,,,34,7844,64,17,False
B,DT3,3,124,V.Poor,,,,,,,,False,,,34,8036,64,17,False
B,DW3,3,127,Poor,,,,,,,,False,,,34,8228,64,17,False
B,DZ3,3,130,Middle,,,,,,,,False,,,34,8420,64,17,False
B,EC3,3,133,B/Off,,,,,,,,False,,,34,8612,64,17,False
B,EF3,3,136,V.Poor,,,,,,,,False,,,34,8804,64,17,False
B,EI3,3,139,Poor,,,,,,,,False,,,34,8996,64,17,False
B,EL3,3,142,Middle,,,,,,,,False,,,34,9188,64,17,False
B,EO3,3,145,B/Off,,,,,,,,False,,,34,9380,64,17,False
B,D4,4,4,B/line,,,,,,,,False,,,51,359,61,17,False
B,E4,4,5,Exp.,,,,,,,,False,,,51,420,64,17,False
B,F4,4,6,Total,,,,,,,,False,,,51,484,64,17,False
B,G4,4,7,B/line,,,,,,,,False,,,51,548,64,17,False
B,H4,4,8,Exp.,,,,,,,,False,,,51,612,64,17,False
B,I4,4,9,Total,,,,,,,,False,,,51,676,64,17,False
B,J4,4,10,B/line,,,,,,,,False,,,51,740,64,17,False
B,K4,4,11,Exp.,,,,,,,,False,,,51,804,64,17,False
B,L4,4,12,Total,,,,,,,,False,,,51,868,64,17,False
B,M4,4,13,B/line,,,,,,,,False,,,51,932,64,17,False
B,N4,4,14,Exp.,,,,,,,,False,,,51,996,64,17,False
B,O4,4,15,Total,,,,,,,,False,,,51,1060,64,17,False
B,P4,4,16,B/line,,,,,,,,False,,,51,1124,64,17,False
B,Q4,4,17,Exp.,,,,,,,,False,,,51,1188,64,17,False
B,R4,4,18,Total,,,,,,,,False,,,51,1252,64,17,False
B,S4,4,19,B/line,,,,,,,,False,,,51,1316,64,17,False
B,T4,4,20,Exp.,,,,,,,,False,,,51,1380,64,17,False
B,U4,4,21,Total,,,,,,,,False,,,51,1444,64,17,False
B,V4,4,22,B/line,,,,,,,,False,,,51,1508,64,17,False
B,W4,4,23,Exp.,,,,,,,,False,,,51,1572,64,17,False
B,X4,4,24,Total,,,,,,,,False,,,51,1636,64,17,False
B,Y4,4,25,B/line,,,,,,,,False,,,51,1700,64,17,False
B,Z4,4,26,Exp.,,,,,,,,False,,,51,1764,64,17,False
B,AA4,4,27,Total,,,,,,,,False,,,51,1828,64,17,False
B,AB4,4,28,B/line,,,,,,,,False,,,51,1892,64,17,False
B,AC4,4,29,Exp.,,,,,,,,False,,,51,1956,64,17,False
B,AD4,4,30,Total,,,,,,,,False,,,51,2020,64,17,False
B,AE4,4,31,B/line,,,,,,,,False,,,51,2084,64,17,False
B,AF4,4,32,Exp.,,,,,,,,False,,,51,2148,64,17,False
B,AG4,4,33,Total,,,,,,,,False,,,51,2212,64,17,False
B,AH4,4,34,B/line,,,,,,,,False,,,51,2276,64,17,False
B,AI4,4,35,Exp.,,,,,,,,False,,,51,2340,64,17,False
B,AJ4,4,36,Total,,,,,,,,False,,,51,2404,64,17,False
B,AK4,4,37,B/line,,,,,,,,False,,,51,2468,64,17,False
B,AL4,4,38,Exp.,,,,,,,,False,,,51,2532,64,17,False
B,AM4,4,39,Total,,,,,,,,False,,,51,2596,64,17,False
B,AN4,4,40,B/line,,,,,,,,False,,,51,2660,64,17,False
B,AO4,4,41,Exp.,,,,,,,,False,,,51,2724,64,17,False
B,AP4,4,42,Total,,,,,,,,False,,,51,2788,64,17,False
B,AQ4,4,43,B/line,,,,,,,,False,,,51,2852,64,17,False
B,AR4,4,44,Exp.,,,,,,,,False,,,51,2916,64,17,False
B,AS4,4,45,Total,,,,,,,,False,,,51,2980,64,17,False
B,AT4,4,46,B/line,,,,,,,,False,,,51,3044,64,17,False
B,AU4,4,47,Exp.,,,,,,,,False,,,51,3108,64,17,False
B,AV4,4,48,Total,,,,,,,,False,,,51,3172,64,17,False
B,AW4,4,49,B/line,,,,,,,,False,,,51,3236,64,17,False
B,AX4,4,50,Exp.,,,,,,,,False,,,51,3300,64,17,False
B,AY4,4,51,Total,,,,,,,,False,,,51,3364,64,17,False
B,AZ4,4,52,B/line,,,,,,,,False,,,51,3428,64,17,False
B,BA4,4,53,Exp.,,,,,,,,False,,,51,3492,64,17,False
B,BB4,4,54,Total,,,,,,,,False,,,51,3556,64,17,False
B,BC4,4,55,B/line,,,,,,,,False,,,51,3620,64,17,False
B,BD4,4,56,Exp.,,,,,,,,False,,,51,3684,64,17,False
B,BE4,4,57,Total,,,,,,,,False,,,51,3748,64,17,False
B,BF4,4,58,B/line,,,,,,,,False,,,51,3812,64,17,False
B,BG4,4,59,Exp.,,,,,,,,False,,,51,3876,64,17,False
B,BH4,4,60,Total,,,,,,,,False,,,51,3940,64,17,False
B,BI4,4,61,B/line,,,,,,,,False,,,51,4004,64,17,False
B,BJ4,4,62,Exp.,,,,,,,,False,,,51,4068,64,17,False
B,BK4,4,63,Total,,,,,,,,False,,,51,4132,64,17,False
B,BL4,4,64,B/line,,,,,,,,False,,,51,4196,64,17,False
B,BM4,4,65,Exp.,,,,,,,,False,,,51,4260,64,17,False
B,BN4,4,66,Total,,,,,,,,False,,,51,4324,64,17,False
B,BO4,4,67,B/line,,,,,,,,False,,,51,4388,64,17,False
B,BP4,4,68,Exp.,,,,,,,,False,,,51,4452,64,17,False
B,BQ4,4,69,Total,,,,,,,,False,,,51,4516,64,17,False
B,BR4,4,70,B/line,,,,,,,,False,,,51,4580,64,17,False
B,BS4,4,71,Exp.,,,,,,,,False,,,51,4644,64,17,False
B,BT4,4,72,Total,,,,,,,,False,,,51,4708,64,17,False
B,BU4,4,73,B/line,,,,,,,,False,,,51,4772,64,17,False
B,BV4,4,74,Exp.,,,,,,,,False,,,51,4836,64,17,False
B,BW4,4,75,Total,,,,,,,,False,,,51,4900,64,17,False
B,BX4,4,76,B/line,,,,,,,,False,,,51,4964,64,17,False
B,BY4,4,77,Exp.,,,,,,,,False,,,51,5028,64,17,False
B,BZ4,4,78,Total,,,,,,,,False,,,51,5092,64,17,False
B,CA4,4,79,B/line,,,,,,,,False,,,51,5156,64,17,False
B,CB4,4,80,Exp.,,,,,,,,False,,,51,5220,64,17,False
B,CC4,4,81,Total,,,,,,,,False,,,51,5284,64,17,False
B,CD4,4,82,B/line,,,,,,,,False,,,51,5348,64,17,False
B,CE4,4,83,Exp.,,,,,,,,False,,,51,5412,64,17,False
B,CF4,4,84,Total,,,,,,,,False,,,51,5476,64,17,False
B,CG4,4,85,B/line,,,,,,,,False,,,51,5540,64,17,False
B,CH4,4,86,Exp.,,,,,,,,False,,,51,5604,64,17,False
B,CI4,4,87,Total,,,,,,,,False,,,51,5668,64,17,False
B,CJ4,4,88,B/line,,,,,,,,False,,,51,5732,64,17,False
B,CK4,4,89,Exp.,,,,,,,,False,,,51,5796,64,17,False
B,CL4,4,90,Total,,,,,,,,False,,,51,5860,64,17,False
B,CM4,4,91,B/line,,,,,,,,False,,,51,5924,64,17,False
B,CN4,4,92,Exp.,,,,,,,,False,,,51,5988,64,17,False
B,CO4,4,93,Total,,,,,,,,False,,,51,6052,64,17,False
B,CP4,4,94,B/line,,,,,,,,False,,,51,6116,64,17,False
B,CQ4,4,95,Exp.,,,,,,,,False,,,51,6180,64,17,False
B,CR4,4,96,Total,,,,,,,,False,,,51,6244,64,17,False
B,CS4,4,97,B/line,,,,,,,,False,,,51,6308,64,17,False
B,CT4,4,98,Exp.,,,,,,,,False,,,51,6372,64,17,False
B,CU4,4,99,Total,,,,,,,,False,,,51,6436,64,17,False
B,CV4,4,100,B/line,,,,,,,,False,,,51,6500,64,17,False
B,CW4,4,101,Exp.,,,,,,,,False,,,51,6564,64,17,False
B,CX4,4,102,Total,,,,,,,,False,,,51,6628,64,17,False
B,CY4,4,103,B/line,,,,,,,,False,,,51,6692,64,17,False
B,CZ4,4,104,Exp.,,,,,,,,False,,,51,6756,64,17,False
B,DA4,4,105,Total,,,,,,,,False,,,51,6820,64,17,False
B,DB4,4,106,B/line,,,,,,,,False,,,51,6884,64,17,False
B,DC4,4,107,Exp.,,,,,,,,False,,,51,6948,64,17,False
B,DD4,4,108,Total,,,,,,,,False,,,51,7012,64,17,False
B,DE4,4,109,B/line,,,,,,,,False,,,51,7076,64,17,False
B,DF4,4,110,Exp.,,,,,,,,False,,,51,7140,64,17,False
B,DG4,4,111,Total,,,,,,,,False,,,51,7204,64,17,False
B,DH4,4,112,B/line,,,,,,,,False,,,51,7268,64,17,False
B,DI4,4,113,Exp.,,,,,,,,False,,,51,7332,64,17,False
B,DJ4,4,114,Total,,,,,,,,False,,,51,7396,64,17,False
B,DK4,4,115,B/line,,,,,,,,False,,,51,7460,64,17,False
B,DL4,4,116,Exp.,,,,,,,,False,,,51,7524,64,17,False
B,DM4,4,117,Total,,,,,,,,False,,,51,7588,64,17,False
B,DN4,4,118,B/line,,,,,,,,False,,,51,7652,64,17,False
B,DO4,4,119,Exp.,,,,,,,,False,,,51,7716,64,17,False
B,DP4,4,120,Total,,,,,,,,False,,,51,7780,64,17,False
B,DQ4,4,121,B/line,,,,,,,,False,,,51,7844,64,17,False
B,DR4,4,122,Exp.,,,,,,,,False,,,51,7908,64,17,False
B,DS4,4,123,Total,,,,,,,,False,,,51,7972,64,17,False
B,DT4,4,124,B/line,,,,,,,,False,,,51,8036,64,17,False
B,DU4,4,125,Exp.,,,,,,,,False,,,51,8100,64,17,False
B,DV4,4,126,Total,,,,,,,,False,,,51,8164,64,17,False
B,DW4,4,127,B/line,,,,,,,,False,,,51,8228,64,17,False
B,DX4,4,128,Exp.,,,,,,,,False,,,51,8292,64,17,False
B,DY4,4,129,Total,,,,,,,,False,,,51,8356,64,17,False
B,DZ4,4,130,B/line,,,,,,,,False,,,51,8420,64,17,False
B,EA4,4,131,Exp.,,,,,,,,False,,,51,8484,64,17,False
B,EB4,4,132,Total,,,,,,,,False,,,51,8548,64,17,False
B,EC4,4,133,B/line,,,,,,,,False,,,51,8612,64,17,False
B,ED4,4,134,Exp.,,,,,,,,False,,,51,8676,64,17,False
B,EE4,4,135,Total,,,,,,,,False,,,51,8740,64,17,False
B,EF4,4,136,B/line,,,,,,,,False,,,51,8804,64,17,False
B,EG4,4,137,Exp.,,,,,,,,False,,,51,8868,64,17,False
B,EH4,4,138,Total,,,,,,,,False,,,51,8932,64,17,False
B,EI4,4,139,B/line,,,,,,,,False,,,51,8996,64,17,False
B,EJ4,4,140,Exp.,,,,,,,,False,,,51,9060,64,17,False
B,EK4,4,141,Total,,,,,,,,False,,,51,9124,64,17,False
B,EL4,4,142,B/line,,,,,,,,False,,,51,9188,64,17,False
B,EM4,4,143,Exp.,,,,,,,,False,,,51,9252,64,17,False
